word,meaning
banafšā,violet
balun,fine
balun, well
balun, in good health
balun, all right
balʸōmut,recovered
balʸōmut, healthier
balʸōmut, in good health
balʸōmut, well again
balʸōmut, improved
bamʦūⁿṭ,quince
banāwun,to form
banāwun, construct
banāwun, develop
banāwun, establis
baⁿd karun,lock up
baⁿd karun, detain
baⁿd karun, imprison
baⁿd karun, jail
baⁿd karun, restrain
baⁿd karun, hold down
baⁿd karun, control
baⁿd karun, bring under control
band,a type of bread
baⁿd,close
baⁿd, shut
baⁿd, lock
baⁿd, seal
baⁿd, close up
baⁿd, put up the shutters
band tʰāwun,mortgage
band tʰāwun, to shut
band tʰāwun, close
band tʰāwun, lock 
band tʰāwun, put down the lid
band,joint
band, linkage
band, bone joint
baⁿd gōbi,cabbage
baⁿdubast,settlement
baⁿdubast, resolution
baⁿdubast, agreement
baⁿdubast, payment
bandūk barun,load a gun
bandūk,gun
bandūkgar,gun maker
bandιgī,compliments
bandιgī, respects
bandιgī, greetings
bang kul,Indian hemp
bang kul, poppy
bangι,Indian hemp
banjer,barren land
banjer, infertile
banjer, unproductive unfruitful harsh
banun,become
banun, developed into
banun, turn into
banun, happen to
banun, befall
banōvmut,made
banōvmut, created
banōvmut, built
banōvmut, crafted
bar,door
bar diyun,to shut the door
barābar,equal
barābar, equivalent
barābar, like
barābar, the same
barābar, one and the same
barābar, even
barābar, unvarying
barābar, stable
barābar, regular
barābarī,accord
barābarī, agreement
barābarī, harmony
barābarī, unity
barābarī, concurrence
barbād karun,destroy
barbād karun, devastate
barbād karun, tear down
barbād karun, demolish
barbād karun, wipe out
barbād karun, damage
barbād karun, ruin
barkʰilāf,against
barkʰilāf, adjacent to
barkʰilāf, in opposition to
barkʰilāf, not in favour
barkʰilāf, anti
barkʰilāf, critical of opposed to
barkʰilāf, versus
barītʰ,full
barītʰ, filled
barītʰ, complete
barītʰ, stuffed
barōbar,like
barōbar, similar
barōbar, comparable
baritʰ karun,to fill
bardāšt,endurance
bardāšt, staying power
bardāšt, patience
bardāšt, stamina
bartan,utensil
brιtʰā,husband
basanwōl,inhabitant
basanwōl, resident
basanwōl, citizen
basanwōl, occupant
bastι,wallet
bastι, folder
bastι, file
bastι, holder
bastι, case
bastūr,sack
bastūr, bag
bastūr, backpack
batʰι,kiln
baskīn,tenant
baskīn, occupant
baskīn, paying guest
baskīn, resident
baskīn, leaseholder
baṭʸen,Kashmiri Hindu female
bayāⁿ karun,describe
bayāⁿ karun, explain
bayāⁿ karun, portray
bayāⁿ karun, illustrate
bayāⁿ karun, give a picture of
batuk,drake
batι dʸun,to feed
basun,dwell
basun, reside
basun, stay
basun, inhabit
basun, settle
batιj,duck
batʸι,wick
baṭι,Kasmiri Hindu male
batι,rice
batι, cooked rice
baṭιwār,Saturday
baṭιwār, the seventh and last day of week
baṭιwāⁿgun,tomato
bawāsīr,hemorrhoids
bakwās,chat
bakwās, talk nonsense
bakwās, jabber
bādām,almond
bayāⁿ,eloquent
bayāⁿ, fluent
bayāⁿ, well-expressed
bayāⁿ, expressive
bādām kul,almond tree
bāb,chapter
bāb, section
bāb, subdivision
bāb, part
bāb, episode
bayāⁿbāⁿ,desert
bayāⁿbāⁿ, wasteland
bayāⁿbāⁿ, barren region
bazāz,cloth-merchant
bāg,garden
bāgwān,gardener
bāj,tax
bāj, toll
bāj, tariff
bāgwə̄ni,gardening
bāl,ball
bākιy,rest
bākιy, residue
bākιy, remains
bākιy, leftovers
bākιy, remainder
bāl,hill
bālēg,adult
bālēg, mature
bāli tʰāwun,to moor a boat
bāⁿḍ,actor
bāⁿḍ, performer
bāⁿḍ, artist
bāⁿḍ, player
bāⁿḍ, artiste
bāman,bud
bāman, blossom
bāman, sprout
bāⁿd,prisoner
bāⁿd, jailbird
bāⁿd, convict
bāⁿg,call to pray in the Muslims
bānι,pot
bānι, utensils
bānι, urn
bānι, container
bānι, gadget
bāpʰtʰur,nephew
bāpʰtʰur, brother’s son
bānιkuṭʰ,larder
bāpatʰ,for sake of
bāpatʰ, behalf
bāpatʰ, purpose
bār,load
bār, burden
bār, oppress
bār, overload
bāšindar,inhabitant
bāšindar, resident
bāšindar, citizen
bāšindar, occupant
bāšendι,inhabitant
bāšendι, resident
bāšendι, civilian
bāšendι, city dweller
bāšendι, citizen
bāšendι, occupant
bāšendι, denizen
bāpə̄r,tradesman
bāpə̄r, trader
bāpə̄r, merchant
bāpə̄r, seller
bāpə̄r, broker
bāpə̄r, wholesaler
bāvzι,niece
bāvzι, brother’s daughter
bāṭur,quail
bāṭur, a bird
bāwun,to relate
bāwun, to share
bāwun, narrate
bāwun, tell
bāwun, speak about
bāwun, convey
bāz,prey
bāz, victim
bāz, target
bāv,to show
bāv, demonstrate
bāv, explain
bāzār,street
bāzār, market
bɔcʰιhot,starving
bɔcʰιhot, hungry
bɔcʰιhot, famished
bɔcʰι,appetite
bɔcʰι, hunger
bɔcʰι, craving
bɔcʰι, need to eat
bɔcʰι, desire for food
bɔcʰι, eagerness
bɔn wasun,to descend
bɔn wasun, go down
bɔn wasun, move down
bɔn wasun, come down
bɔn wasun, slide down
bɔn wasun, fall down
bɔn wasun, tumble down
bɔkwǝṭ,kidney
bɔn,below
bɔn, under
bɔn, underneath
bɔn, beneath
bɔn, lower than
bɔnkun,downwards
bɔnι,down
bɔnι, downward
bɔnι, downstairs
be-adabi,disrespectfully
be-adabi, impolitely
be-adabi, impertinently
bedil,unmanly
bedil, incapable
bedil, toothless
bedil, defenseless
bɔtal,bottle
bɔtal, container
be-ār,merciless
bedīn,infidel
behnāwun,set down
behnāwun, set aside
behnāwun, put away
behnāwun, lay down
begānι,foreigner
begānι, stranger
begānι, alien
be-insāf,unjust
be-insāf, unfair
be-insāf, undue
behōš,numb
behōš, lacking feeling
behōš, insensitive
behōš, anesthetized
behōš, hardhearted
bēkʰabar,unaware
bēkʰabar, ignorant
bēkʰabar, unconscious
bēkʰabar, innocent
bǝhʸum,twelfth
bēlci,spade
bēlci, scoop
bemār,ill
bemār, unwell
bemār, sick
bekʰāwaⁿd,widow
bereham,brutal
bereham, unkind
bereham, mean
bereham, heartless
bereham, ruthless
bereham, harsh
beni,sister
beni, daughter of the same parent
bemə̄r,disease
bemə̄r, illness
bemə̄r, sickness
bemə̄r, ailment
bemə̄r, virus
bemə̄r, infection
bemə̄r, disorder
bemə̄r, complaint
bād pakun,the breaking of wind with noise
bād pakun, syphilis to occur
betāb,restless
betāb, annoyed
betāb, restive
betāb, impatient
beyi ti beyi,many times
beyi ti beyi, repeatedly again and again over and over persistently
beyi akh,one more
beyi akh, another
beyi akh, an additional
beyi akh, an extra
beyi akh, an added
beyi pʰiri,again
beyi pʰiri, once more
beyi pʰiri, another time
beyi pʰiri, yet again
beyi pʰiri, for a second time
be-yezti sān,disrespectfully
be-yezti sān, impolitely
be-yezti sān, impertinently
beyi kaⁿh,anybody
beyi kaⁿh, any person
beyi kaⁿh, anyone
beyι,more
beyι, additional
beyι, further
beyι, other
becʰun,begging
beyi vizi,next time
beyi vizi, another time
beyι,and
beyι, in addition to
beyι, as well as
beyι, plus
bʸecʰvun,beggar
bʸecʰvun, homeless person
bʸecʰvun, vagrant
bʸeh,be seated
bʸeh, take a seat
bʸeh, park yourself
bekār karun,dismiss
bekār karun, fire
bekār karun, reject
bekār karun, lay off
bekār karun, give somebody the pink slip
bʸekarār,uncomfortable
bʸekarār, painful
bʸehnāwun,cause to sit
be-andāz,unskillful
be-andāz, lacking ability
be-andāz, unpromising
bemārdə̄rī,sick condition
bemārdə̄rī, ill
bemārdə̄rī, unwell
bemārdə̄rī, ailing not a hundred percent
bemazι,tasteless
bemazι, flavorless
bemazι, in poor taste
bemazι, cheap
belazat,tasteless
belazat, flavorless
belazat, in poor taste
belazat, cheap
beparwah,thoughtless
beparwah, inconsiderate
beparwah, careless
beparwah, negligent
bešūb,worthless
bešūb, of no value
bešūb, useless
bešūb, meaningless
betāb,impatient
betāb, fervent
betāb, intolerant
betāb, eager
betāb, hasty
be-tartīb,disorder
be-tartīb, chaos
be-tartīb, confusion
be-tartīb, mess
be-tartīb, unrest
be-arām,uneasy
be-arām, uncomfortable
be-arām, anxious
bēdār,vigilant
bēdār, watchful
bēdār, alert
bēdār, attentive
bēdār, aware
bēdār, observant
bēdār, wary
beṭʰak,assembly
becʰ,begging
becʰ, pleading
becʰ, ask for
bēklun,to become fool
bēklə̄zi,foolishness
bēklə̄zi, stupidity
bēklə̄zi, idiocy
bēkιl,senseless
bēkιl, stupid
bēkιl, silly
bēkιl, foolish
bēkιl, mindless
bēkιl, idiotic
bedemāg,stupid
bedemāg, unintelligent
bedemāg, brainless
bedemāg, foolish
bedemāg, silly
bēwafā,faithless
bēwafā, untrustworthy
bēwafā, disloyal
bēwukūf,silly
bēwukūf, stupid
bēwukūf, childish
bēwukūf, ridiculous
bēwukūf, mad
bēlʸ,spade
bʸēr,cats
bʸēztī karin,discredit
bʸēztī karin, bring shame on
bʸēztī karin, disgrace
bʸēztī karin, humiliate
bigur,confounded
bigur, blasted
bigur, horrible
bigur, wretched
bic,scorpion
bic, crab
bigrʸōmut,damaged
bigrʸōmut, corrupt
bʸēztī,disgrace
bʸēztī, shame
bʸēztī, dishonor
bʸēztī, discredit
bʸēztī, humiliation
bihʸun,to sit
bihʸun, be placed
bihʸun, be seated
bihʸun, sit down
birι-gɔgul,ball
bijlībatʸ,lamp
bijlībatʸ, bulb
bilibucur,nightingale
bīm,fear
bīm, dread
bīm, horror
bīm, shock
biskūṭ,biscuit
bǝḍrāwun,to make larger
bīnə̄yi,sight
bīnə̄yi, vision
bīnə̄yi, eyesight
bǝḍ saḍak,highway
bǝhlāvɔn,keep amused
bǝhlāvɔn, keep busy
bǝhlāvɔn, occupy
bǝlrāwun,cure
bǝlrāwun, heal
bǝlrāwun, treat
bǝlrāwun, make well
bǝlrāwun, restore to health
bǝli,sacrifice
bǝli, the act of offering ceremonially to deity
bǝli, the slaughter of an animal to please the deity
bǝlʸ,pretence
bǝlʸ, merriment
bǝlʸ lāgun,to pretend
bǝlʸ lāgun, make believe
bǝlʸ lāgun, act as if
bǝlʸ lāgun, make up
bǝlʸ lāgun, play
bǝrut,brimful
bǝrut, overfilled
bǝrut, overflowing
bǝrut, bursting at the seams
bǝrιʦ,pregnant
bǝrιʦ, with child
bǝrιʦ, expectant
bǝrιʦ, expecting
bǝrιʦ, heavy with child
bǝsrakʰ,traditional Kashmiri sweet snack
bǝstι kʰaʦʰinʸ,swell up
bǝstι kʰaʦʰinʸ, erupt
bǝstι kʰaʦʰinʸ, bubble
bǝstι kʰaʦʰinʸ, break out in blisters
bǝstι,blister
bǝstι, eruption burn eruption
bə̄gi,rebellious
bə̄gi, disobedient
bə̄gi, unruly
bə̄gi, disloyal
bə̄glι,beans
bə̄grāwun,distribute
bə̄grāwun, share out
bə̄grāwun, deliver
bə̄grāwun, issue
bə̄grun,distribute
bə̄grun, share out
bə̄grun, hand out
bə̄grun, deal out
bə̄grun, give out
bə̄grun, allot
bə̄grun, deliver
bə̄ⁿs,cane
bə̄ⁿs, bamboo
bə̄riš,rain
bə̄riš, rainfall
bə̄riš, shower
bə̄t,verse
bə̄ʦ,married couple
bə̄ykākanʸ,sister-in-law
bə̄ykākanʸ, brother’s wife
bə̄t gewān,singing
bə̄t gewān, playing
bə̄t gewān, in performance
bə̄t gewān, on stage
bʸōr,cat
bʸērι,cats
bιḍʸbab,grandmother
bιⁿgιr,bangle
bι,I (pron.)
bιr,edge
bocʰi lagin,to be hungry
bιzun,to bake
bιzun, cook in the oven
bιzun, heat
bιzun, roast
bocʰōmut,hungry
boḍ camci,tablespoon
boḍ doh,festival
boḍ,large
boḍ, big
boḍ, huge
bǝḍʸ,adult
bǝḍʸ, mature
bǝḍʸ, fully developed
bǝḍʸ, grown
bǝḍʸ, big
bǝḍʸ, large
bǝḍʸ, full-size elder
bǝḍʸ, old
bǝḍʸ, aged
bǝḍʸ, former
bǝḍʸ, erstwhile
bōgun,vessel
bāⁿd,repeatedly urging
bāⁿd, pressing
bāⁿd, or insisting upon
baḍι,grand parents
bʸon,different
bʸon, dissimilar
bʸon, diverse
bʸon, unlike
bʸon, poles apart
bʸon, unusual
bʸon, nuclear family
bāmbar,hurry
bāmbar, urgency
bāmbar, rush
boṭʰ,river bank
boṭʰ, shore
boṭʰ, bank
boṭʰ,brink
boṭʰ, edge
boṭʰ, rim
boṭʰ, lip
boṭι wə̄nʸ,trader of Ladak
bōdιwār,Wednesday
bōg,share
bōg, part
bōg, portion
bōg, piece
bōⁿwār,Tuesday
bōⁿwār, the third day of week
bōlun,talk
bōlun, speak
bōlun, converse
bōlun, have a discussion
bōnʸ,Chinar tree
bōnʸ, maple
bōr,burden
bōr, load
bōr, weight
baḍun,to become large
baḍun, become big
baḍun, get big
bōs,stomach
bōsι,kiss
bāg,a share
bāg, a portion
bōzun,to hear
bōzun, reckon
bōzun, think
bōzun, consider
bōzun, feel
bōzun, understand
bōzun, appreciate
bōzun, grasp
bōv,posterior part of thigh
bōz,pay attention
bōz, listen
bʸōl,seed
bōy,brother
bādum,almond
bram,trick
bram, deception
bram, hoax
bram, swindle
bram, trap
brag,crane
bōznāwun,to relate
bōznāwun, to share
bōznāwun, narrate
bōznāwun, tell
bōznāwun, speak about
bōznāwun, convey
brag,heron
branιkul,elm
bram dʸun,cheat
bram dʸun, deceive
bram dʸun, take advantage of
bram dʸun, swindle
brāⁿd,doorsill
brāⁿd, threshold
brāⁿd, entrance
brāⁿd, doorstep
braswār,Thursday
braswār, the fifth day of week
brōⁿtʰ,before
brōⁿtʰ, previous to
brōⁿtʰ, earlier than
brōⁿtʰ, prior to
brōⁿtʰ, ahead of
brōⁿtʰ, by
buruz,bark of a tree
brāⁿt,hope
brāⁿt, expectation
brāⁿt, faith
broⁿṭʰas,next year
broⁿṭʰas, nearest time
brōⁿṭʰkun,forwards
brōⁿṭʰkun, ahead
brōⁿṭʰkun, frontwards
buḍun,to become
buḍun, vegetate
buḍun, be passive
buḍun, be sluggish
buḍun, stagnate
buḍun, pass the time
buḍun, waste time
brōⁿṭʰkanʸi,in the presence of
brōⁿṭʰkanʸi, in front of
brōⁿṭʰkanʸi, before
brōⁿṭʰkanʸi, in the company of
bucʰun,sting
bucʰun, hurt
bucʰun, throb
bāⁿg,the call to prayer by the mu'aẕẕin from the tower of a mosque
buhirʸ,druggist
bujʸer,old age
bujʸer, later life
bujʸer, parenthood
bulbul,nightingale
bukʰə̄r,fireplace
bunk,financial bank
bunk, have an account
bumbur,corn
bumbur, hard skin
bumbur, corn
bumbur, bump
bumsinʸ,earthworm
bumsinʸ, worm
bunkwōl,banker
bunkwōl, backer
bunkwōl, financier
bunkwōl, supporter
buⁿm,brow
bunyād,foundation
bunyād, base
bunyād, establishment
bunʸul,earthquake
bunʸul, tremor
bunʸul, volcanic activity
bunʸul, seismic activity
burkι,veil
bunιpōš,water-lily
buruš,brush
burzι kul,birch tree
butʰ pʰʸurun,rebuke
butʰ pʰʸurun, reprove
butʰ pʰʸurun, reproach
butʰ pʰʸurun, scold
butʰ hunrāwun,pull a long face
but,idol
but, statue
burušιgor,brush maker
butʰ,countenance
butʰ, face
butʰ, expression
butʰ lāgay,argue
butʰ lāgay, quarrel disagreement
butrāt,land
butrāt, home
butrāt, nation
butʰpʰʸur,rebellious
butʰpʰʸur, disobedient
butʰpʰʸur, unruly
butʰpʰʸur, disloyal
buṭʰ tʰāwun,to moor a boat
buzarg,noble
buzarg, venerable
buzarg, respected
buzarg, esteemed
buzarg, honored
buzarg, revered
buzargī,nobility
buzargī, dignity
buzargī, decency
buzargī, nobleness
buz,to roast
buzdil,cowardly
buzdil, gutless
buzdil, weak
bram,wandering
bram, cheating
buzmut,roasted
buzun,roast
būl,mistake
būl, fault
būl, blunder
būl, forgetfulness
būl, absentmindedness
būṭ,boot
bōm,apart
bōm, away from each other
bōm, spaced out
bōm, distant
bʸēr-kə̄ni,loft
bʸēr-kə̄ni, a space under roof
bad lihāz,close the eyes to
bad lihāz, disrespect
bad lihāz, contempt
bad lihāz, disdain
bad-mazι,tasteless
bad-mazι, in bad taste
bad-mazι, flavorless
banjə̄r,person who sell hosiery from village to village
batι mʸoⁿḍ,morsel
batι mʸoⁿḍ, mouthful
bāⁿḍι pə̄tʰǝr,act
bāⁿḍι pə̄tʰǝr, drama
bāⁿḍι pə̄tʰǝr, comedy
bāⁿḍι pə̄tʰǝr, stage show
bāⁿḍι pə̄tʰǝr, play
bab din,to give the breast
bab din, to apply a child to the breast
bab din, to give suck
babal,possessing a large bosom
babal, full-bosomed
babal, high-bosomed
babi ṭoⁿḍ,nipple of the breast of a human being or beast
bābū,used for addressing an immigrant from India
būṭ,herbal plant
būṭ, herbal medicines
babι dag,grief for the death of a father
bābūna,camomile; camomile flowers; Matricaria chamomilla
babι kə̄n,a woman or female beast suffering from obstruction of the flow of milk
babι rostι,wanting a father
babι rostι, one whose father is dead
babι rostι, especially who is not yet grown up
babι wohav,vulgar abuse or imprecations uttered against a person's father
bābι,grandfather; old man
bābι, sir
bābι, the head of an order of monks especially in Muslim community
babι wāy,a severe pain in a woman's bosom; caused by disease
babι wāy, or as a consequence of the unsatisfied longing of a pregnant woman
babι yetīm,a fatherless child
babι yetīm, a helpless orphan with no one to supply the place of a father
bad rad wanun,to use abusive language about or to an opponent
babιr,the sweet basil palnt
bad wati,badness in behaviour
bad wati, dress
bad wati, actions
bad wati, intelligence
bad wati, skill
bad wati, or the like
bə̄gi,at about the time of
bāgī,defeater
bāgī, subjugator
bāgī,
bə̄grun,to divide
bə̄grun, apportion
bə̄grun, distribute
bə̄grun, portion out
bə̄grun, parcel out
bādām pʰιlay,the almond-blooming
badalwǝnʸ,the price of exchange
badalwǝnʸ, when an old article is exchanged for a new one of the same kind
baḍāv,setting forth
baḍāv, setting out
badalι,in exchange of
baḍīmī,the exercise of generosity
badlāwun,to cause to be changed or altered; to change
badlāwun, alter
bādām gūj,an almond-kernel
bād,venereal disease
bād, syphilis
baḍι nānʸ,grand-mother
baḍur,a kind of bird found the lakes north of Kashmīr
bādιlad,afflicted with venereal disease
badιliyetʰ,a condition of change
badιliyetʰ, transformation
bādə̄m,light-brown
bādə̄m, almond-coloured
bagandar,a fistula in the anus
bagandar, a boil in or close to the anus
bagal,the side-pocket of a coat or similar garment
bagandarlad,suffering from or afflicted by fistula
bagandarlǝdin,suffering from or afflicted by fistula
bāgiy,good-luck
bagārι,oil or ghee dripping
bagārιdār,greasy
bagārιdār, oily
bagārιdār, buttery
bāgāy,dividing into shares
bāgāy, distributive division
bagvatʰ,adored
bagvatʰ, holy
bagvatʰ, revered
bagvatʰ, venerable
bagvatī,applied as a proper name to the goddess Pārvatī
bāgwə̄nil,the profession or trade of a gardener
bāgι āmut,come into sharing (husband for a woman)
bāgιhār,division of a number
bāgιhār, an arithmetical operation
bākʰ,weeping associated with screeches or screams
bāgι āmιʦ,come into sharing (wife for a husband)
bāⁿbar lārin,flurry to occur
bāⁿbιri bāⁿbιri,hurriedly
bāⁿbιri bāⁿbιri, flurriedly
bāⁿbιri hot,hurried
bāⁿbιri hot, flurried
bāⁿbιri hǝʦ,hurried
bāⁿbιri hǝʦ, flurried
brahmǝnʸ,a woman of the Brāhmaṇ caste
barkarār,fixed
barkarār, established
barkarār, firm
barkarār, unchangeable
bagə̄r,without
bagə̄r, exclusive of
bagə̄r, excluding
bagə̄r, except
bagə̄r, besides
bākι,weeping associated with screeches or screams
bāⁿbar,fluster
bāⁿbar, flurry
bāⁿbar, agitated haste in doing anything
barham,confused
barham, jumbled together
barham, turned upside down
barham, entangled
barham, spoiled
barkatʰ,increase
barkatʰ, abundance
barkatʰ, prosperity
barkatʰ, blessing
barkatʰ, Kāshmīrī Muslims use this word for 'one' in counting
barkatʰ, instead of one
barkatʰ, by way of asking God's blessing on the whole transaction
bebagārι,not cooked in oil
barmι,an auger
barmι, drill
bēbākʰ,without remainder
bēbākʰ, complete
bēbākʰ, paid up in full
bē bahas,without disputation
bē bahas, without controversy
bǝbil,action like that of a father in fatherly affection
bēdə̄rī,waking
bēdə̄rī, wakefulness; vigilance
bēdə̄rī, watchfulness
bedād,oppressed
bedād, distressed
bedād, unjust
bēdār gaʦun,to be aroused
bēdār gaʦun, awakened from sleep; to have the intellect aroused
bēg,a carriage
bē-gāh,untimely
bē-gāh, unseasonable
bǝḍrun,to plaster
begrʸōvmut,that which has acquired an acrid taste
bǝḍran,plastering
bǝḍran, applying a plaster of mud mixed with chaff and chopped straw
beḍōl,shapeless
beḍōl, ill-fashioned
beḍōl, ugly
beḍōl, clumsy
beḍōl, ill-mannered
be-intihā,without limit
be-intihā, endless
bodιgēr,a well-known hill lying north of the city of Śrīnagar
begə̄r karun,to set at variance
begə̄r karun, to set friends at enmity
bombur,a garden – bee
brakʰ lagun,to suffer from a crushing blow
brakʰ lagun, to be a wreck after a severe illness
brakun,to crunch with the teeth
brakun, to masticate
bragin,the blue heron
bragin, Ardea cinerea
brahman,a man of the Brahmaṇ caste
begə̄rʸ,compelling to work for nothing
begə̄rʸ, forced labour
brakι drāv,hardened by experiencing or making a practice of undergoing blows
brakι drāv, trained
bram diyun,to swindle
bram diyun, cheat
bram diyun, defraud
bramhā,name of a Hindū god
bramhā, a member of the triad of Brahmā
bramhā, Lord Śiva
brang,an old minaret
brimjι,a tree
brimjι, Celtis australis
brimjι, usually found in graveyards in Kashmīr
brīmι pōš,the water-lily
brūⁿh,in front
būd gaʦun,to become visible or cognizable by the senses
brakʰ,a crushing blow
brakʰ, a blow
brokιmut,crushed
brokιmut, pounded; crunched by the teeth
brokιmut, masticated
bruⁿh bruⁿh pakun,to keep walking in front
bruⁿh bruⁿh pakun, to precede
būd karun,make visible or cognizable
būd,learning
būd, knowledge
būd, wisdom
būd, intelligence derived from study
budul,a kind of tree
budul, the Himalayan silver fir
budul, Abies Webbiana
buḍι wāl,grey hair
būdι wōl,learned
būdι wōl, well instructed
būdι wōl, intelligent
buḍι ə̄l,a kind of cardamom
buḍι ə̄l, bearing a large seed
buji butʰ,a young man who has a face like an old woman's whose face is wrinkled
būgōl,geography
buji,old women
būdι wə̄jen,learned
būdι wə̄jen, well instructed
būdι wə̄jen, intelligent
bʸob,the space between the body and the clothes
bʸob, the inside breast of the long gown worn by Kashmīrīs
buḍιhor,spotted
buḍιhor, brindled
buḍιhor, white spots scattered over something
bιḍι bab,grand-father
bιḍin,old woman
bιḍι mōj,the big mother
bιḍι mōj, the senior lady of a family
bə̄ⁿḍil,the profession of a baⁿḍ or actor
bə̄gran,dividing
bə̄gran, apportioning; division
bə̄gran, distribution
bə̄n,the collar
bə̄g,on account of
bə̄rīk,very heavy
bə̄ⁿg,the mu'aẕẕin who calls to prayer
bə̄diyānι,sweet-fennel
cʰakrāwun,scatter
cʰakrāwun, disperse
cʰakrāwun, spread out
candι ʦūr,pickpocket
carāgah,meadow
cʰakun,scatter
cʰakun, disperse
cʰakun, spread out
capinʸ,sandals
candι,pocket
cʰāⁿgιr,hurry
cʰāⁿgιr, flurry in doing anything
cerkʰι,wheel
cāk,crack
cāk, break
cāk, fracture
cāk, crevice
cāl,character
cāl, nature
cāl, temperament
cāl, personality
cāl, makeup
cāl calun,conduct
cāl calun, behavior
cāl calun, ways
cāl calun, carry out
cāl calun, perform
cāl calun, behave
cāl calun, act
cāl calun, comport yourself
cāl calun, direct
cālāk,active
cālāk, lively
cālāk, full of life
cālāk, dynamic
cālāk, vigorous
cālāk, clever
cālāk, intelligent
cālāk, bright
cālāk, witty
cānāwun,cause to drink
cāl karin,trick
cāl karin, stratagem
cāl karin, dodge
cāl karin, scheme
cārvōy,animal
cārvōy, beast
cārvōy, quadruped
cārvōy, four-footed animal
cārwə̄y,cattle
cārwə̄y, livestock
cārwə̄y, farm animals
cārwə̄y, domestic animals
cāy,tea
cāš,forenoon
ceⁿgι,tax
ceⁿgι, toll
ceⁿgι, tariff
cepāt,slap
cepāt, hit
cerιb,fat
cerιb, tallow
cešmι,spring of water
cerbī,grease
cerbī, fat
cerbī, oil
cešmāšāhī,name of place in Srinagar city in Kashmir
cešmāšāhī, tourist resort
cʸeṭ hʸin,to forfeit
cʸeṭ hʸin, pay
cʸeṭ hʸin, lose
cʸetʰ,intoxicated
cʸetʰ, drunk
cʸetʰ, under the influence
cīn,china
cīn, name of a country
cīritʰ,drawn
cīritʰ, haggard
cilʸ,tent peg
cilʸ, hook
ciṭʰ,letter
ciṭʰ, epistle
ciṭʰ, letter
cikandūz,embroiderer
cīr,tight
cīr, firm
cīr, stretched
cīr, forceful
cīr, press down
cīr, tap down
cārun,drains
cārun, sap
cārun, draw off
cārun, remove
cārun, bleed
cār,tight
cār, firm
cār, stretched
cār, forceful
cār, press down
cār, tap down
cīrun,to wring
cīrun, squeeze
cīrun, twist
cīrun, press
cīrun, compress
cīz,thing
cīz, article
cīz, item
cīz, gadget
con,drinking
cobur,young man
cobur, ironical
cōb,beating
cōb, thrashing
cōb, pounding
cōⁿcι,spoon
cōⁿcι, a utensil with a shallow and handle for stirring
cōⁿcι, a ladle or spoon
cōⁿcι, made of wood
cōdι,wide
cōdι, broad
cōdι, spacious
cōdι, widespread
cōbuk,whip
cōbuk, piece of leather used for pushing people or driving animals
cōⁿṭʰ,mouth
cōn,your
cōpāy,stool
cʰāⁿgιr,hurry
cʰāⁿgιr, flurry in doing anything
cōr,idiot
cōr, stupit
cōkι,cooking range
cōkι, kitchen
cōkι, cook-house
cōṭ,wound
cōṭ, hurt
cōṭ, injury
cunʸ,ladies shawl
cumṭι,pincers
cumṭι, tongs
cūkʸdar,watchman
cūnʸ,trinkets
cūnʸ, studds
cə̄ⁿd,silver
cūnι,chalk
cūnι, a soft white limestone
cʰag,thinning out
cʰag, dispersal
cʰag, spreading
cʰag, control
cʰag, rush
cʰal,part
cʰal, piece
cʰal, section
cʰal, branch
cʰal, fraction
cʰal,to wash
cʰaliwə̄nʸ,rice-water
cʰapan jāy,refuge
cʰapan jāy, shelter
cʰapan jāy, protection
cʰapan jāy, place of safety
cʰarun,evacuation
cʰaʦ,small piece
cʰaʦ, left over
cʰaʦ, bit
cʰaʦ, crumb
cʰatun,fade
cʰatun, lighten
cʰatun, become lighter
cʰatun, lose color
cʰaʦιr,egg white
cʰat,roof
cʰat, top
cʰalun,wash
cʰalun, clean
cʰalun, bathe
cʰalun, cleanse
cʰān,carpenter
cʰāv,blazing
cʰāv, roaring
cʰāv, intense
cʰāv, roaring
cʰāv, warm
cʰāv, the final cooking of rice or other cooked food
cʰānιbə̄y,carpenter’s wife
cʰānun,to sift
cʰāⁿcʰ,raspberry
cʰāpun,publish
cʰāpun, print
cʰāpun, bring out
cʰɔdιlad,starving
cʰɔdιlad, hungry
cʰɔk dʸun,injure
cʰɔk dʸun, hurt
cʰɔk dʸun, damage
cʰɔd,hunger
cʰukʰ,squash
cʰukʰ, squeeze
cʰɔkʰιlad,wounded
cʰɔkʰιlad, injured
cʰɔkʰιlad, hurt
cʰɔkʰιlad, upset
cʰɔkʰ,sore
cʰon,thin
cʰon, light
cʰon, lightweight
cʰon, unfilled
cʰon, empty
cʰon, less
cʰon, less than a certain amount
cʰon, deficient in quantity
cʰon tōlun,weigh up less than actual weight
cʰirι,lamb
cʰirιkaṭʰ,lamb
cʰǝtιr,umbrella
cʰōⁿp,instep
cʰōⁿp, the upper part of ankle
cʰonun,detriment
cʰonun, disadvantage
cʰonun, damage
cʰonun, loss
cʰonun, deficit
cʰonun, debit
cʰonun, lack
cʰonun, shortage
cʰolmut,washed
cʰot,light-coloured
cuṭʰkinʸ,wedge
cuṭʰkinʸ, bolt
cuṭʰkinʸ, bar
cōb dʸun,thrash
cōb dʸun, beat
cōb dʸun, batter
cōb dʸun, lash
